time,custom_id,x,y,z
9.29,1003,1991.86,25.03,2560.64
9.29,1001,1992.43,25.00,2557.37
9.32,1003,1991.85,25.03,2561.01
9.32,1001,1992.38,25.00,2557.37
9.35,1003,1991.84,25.03,2561.41
9.35,1001,1992.33,25.00,2557.37
9.37,1003,1991.82,25.03,2561.77
9.37,1001,1992.29,25.00,2557.37
9.40,1003,1991.81,25.03,2562.15
9.40,1001,1992.24,25.00,2557.37
9.43,1003,1991.80,25.03,2562.52
9.43,1001,1992.20,25.00,2557.37
9.45,1003,1991.79,25.03,2562.89
9.45,1001,1992.15,25.00,2557.37
9.48,1003,1991.78,25.03,2563.24
9.48,1001,1992.11,25.00,2557.37
9.51,1003,1991.76,25.03,2563.61
9.51,1001,1992.06,25.00,2557.37
9.53,1003,1991.75,25.03,2563.97
9.53,1001,1992.02,25.00,2557.37
9.56,1003,1991.74,25.03,2564.35
9.56,1001,1991.97,25.00,2557.37
9.59,1003,1991.73,25.03,2564.71
9.59,1001,1991.92,25.00,2557.37
9.61,1003,1991.71,25.03,2565.08
9.61,1001,1991.88,25.00,2557.37
9.64,1003,1991.70,25.03,2565.44
9.64,1001,1991.83,25.00,2557.37
9.66,1003,1991.69,25.03,2565.80
9.66,1001,1991.79,25.00,2557.37
9.69,1003,1991.68,25.03,2566.17
9.69,1001,1991.74,25.00,2557.37
9.72,1003,1991.67,25.03,2566.52
9.72,1001,1991.70,25.00,2557.37
9.74,1003,1991.65,25.03,2566.88
9.74,1001,1991.66,25.00,2557.37
9.77,1003,1991.64,25.04,2567.24
9.77,1001,1991.61,25.00,2557.37
9.80,1003,1991.63,25.04,2567.63
9.80,1001,1991.56,25.00,2557.37
9.82,1003,1991.62,25.05,2568.00
9.82,1001,1991.52,25.00,2557.37
9.85,1003,1991.61,25.05,2568.37
9.85,1001,1991.47,25.00,2557.37
9.88,1003,1991.59,25.05,2568.76
9.88,1001,1991.42,25.00,2557.37
9.90,1003,1991.58,25.06,2569.13
9.90,1001,1991.38,25.00,2557.37
9.93,1003,1991.57,25.08,2569.49
9.93,1001,1991.33,25.00,2557.37
9.95,1003,1991.56,25.10,2569.84
9.95,1001,1991.29,25.00,2557.37
9.98,1003,1991.54,25.11,2570.20
9.98,1001,1991.24,25.00,2557.37
10.01,1003,1991.53,25.12,2570.57
10.01,1001,1991.20,25.00,2557.37
10.03,1003,1991.52,25.13,2570.95
10.03,1001,1991.15,25.00,2557.37
10.06,1003,1991.51,25.14,2571.32
10.06,1001,1991.10,25.00,2557.37
10.09,1003,1991.49,25.16,2571.70
10.09,1001,1991.06,25.00,2557.37
10.13,1003,1991.48,25.18,2572.23
10.13,1001,1990.99,25.00,2557.37
10.15,1003,1991.46,25.20,2572.61
10.15,1001,1990.94,25.00,2557.37
10.18,1003,1991.45,25.22,2573.00
10.18,1001,1990.90,25.00,2557.37
10.21,1003,1991.44,25.23,2573.35
10.21,1001,1990.85,25.00,2557.37
10.24,1003,1991.43,25.25,2573.73
10.24,1001,1990.80,25.00,2557.37
10.26,1003,1991.41,25.25,2574.12
10.26,1001,1990.76,25.00,2557.37
10.29,1003,1991.40,25.26,2574.52
10.29,1001,1990.71,25.00,2557.37
10.32,1003,1991.39,25.27,2574.88
10.32,1001,1990.66,25.00,2557.37
10.34,1003,1991.38,25.28,2575.24
10.34,1001,1990.62,25.00,2557.37
10.37,1003,1991.37,25.29,2575.60
10.37,1001,1990.57,25.00,2557.37
10.40,1003,1991.35,25.31,2575.96
10.40,1001,1990.53,25.00,2557.37
10.42,1003,1991.34,25.31,2576.32
10.42,1001,1990.48,25.00,2557.37
10.45,1003,1991.33,25.32,2576.70
10.45,1001,1990.43,25.00,2557.37
10.48,1003,1991.32,25.33,2577.07
10.48,1001,1990.39,25.00,2557.37
10.50,1003,1991.30,25.34,2577.43
10.50,1001,1990.34,25.00,2557.37
10.53,1003,1991.29,25.34,2577.78
10.53,1001,1990.30,25.00,2557.37
10.56,1003,1991.28,25.35,2578.15
10.56,1001,1990.25,25.00,2557.37
10.58,1003,1991.27,25.35,2578.53
10.58,1001,1990.20,25.00,2557.37
10.61,1003,1991.26,25.35,2578.89
10.61,1001,1990.16,25.00,2557.37
10.64,1003,1991.24,25.35,2579.25
10.64,1001,1990.11,25.00,2557.37
10.66,1003,1991.23,25.34,2579.61
10.66,1001,1990.07,25.00,2557.37
10.69,1003,1991.22,25.33,2579.97
10.69,1001,1990.02,25.00,2557.37
10.72,1003,1991.21,25.33,2580.34
10.72,1001,1989.98,25.00,2557.37
10.74,1003,1991.19,25.32,2580.74
10.74,1001,1989.93,25.00,2557.37
10.77,1003,1991.18,25.31,2581.13
10.77,1001,1989.88,25.00,2557.37
10.80,1003,1991.17,25.30,2581.48
10.80,1001,1989.83,25.00,2557.37
