time,custom_id,x,y,z
2.23,1001,2004.59,25.00,2557.41
2.26,1003,1995.11,25.00,2463.01
2.26,1001,2004.54,25.00,2557.41
2.28,1003,1995.09,25.00,2463.37
2.28,1001,2004.50,25.00,2557.41
2.31,1003,1995.08,25.00,2463.72
2.31,1001,2004.45,25.00,2557.41
2.34,1003,1995.07,25.00,2464.08
2.34,1001,2004.41,25.00,2557.41
2.36,1003,1995.06,25.00,2464.44
2.36,1001,2004.36,25.00,2557.41
2.39,1003,1995.05,25.00,2464.80
2.39,1001,2004.32,25.00,2557.41
2.41,1003,1995.03,25.00,2465.14
2.41,1001,2004.28,25.00,2557.41
2.44,1003,1995.02,25.00,2465.51
2.44,1001,2004.23,25.00,2557.41
2.46,1003,1995.01,25.00,2465.86
2.46,1001,2004.19,25.00,2557.41
2.49,1003,1995.00,25.00,2466.26
2.49,1001,2004.14,25.00,2557.41
2.52,1003,1994.99,25.00,2466.62
2.52,1001,2004.09,25.00,2557.41
2.54,1003,1994.97,25.00,2466.98
2.54,1001,2004.05,25.00,2557.41
2.57,1003,1994.96,25.00,2467.36
2.57,1001,2004.00,25.00,2557.41
2.60,1003,1994.95,25.00,2467.76
2.60,1001,2003.95,25.00,2557.40
2.63,1003,1994.93,25.00,2468.16
2.63,1001,2003.90,25.00,2557.40
2.66,1003,1994.92,25.00,2468.55
2.66,1001,2003.86,25.00,2557.40
2.69,1003,1994.91,25.00,2468.93
2.69,1001,2003.81,25.00,2557.40
2.71,1003,1994.90,25.00,2469.33
2.71,1001,2003.76,25.00,2557.40
2.74,1003,1994.88,25.00,2469.72
2.74,1001,2003.71,25.00,2557.40
2.77,1003,1994.87,25.00,2470.13
2.77,1001,2003.66,25.00,2557.40
2.80,1003,1994.86,25.00,2470.50
2.80,1001,2003.61,25.00,2557.40
2.83,1003,1994.84,25.00,2470.88
2.83,1001,2003.57,25.00,2557.40
2.86,1003,1994.83,25.00,2471.30
2.86,1001,2003.51,25.00,2557.40
2.88,1003,1994.82,25.00,2471.70
2.88,1001,2003.46,25.00,2557.40
2.91,1003,1994.80,25.00,2472.08
2.91,1001,2003.42,25.00,2557.40
2.94,1003,1994.79,25.00,2472.46
2.94,1001,2003.37,25.00,2557.40
2.97,1003,1994.78,25.00,2472.84
2.97,1001,2003.32,25.00,2557.40
2.99,1003,1994.77,25.00,2473.22
2.99,1001,2003.28,25.00,2557.40
3.02,1003,1994.75,25.00,2473.60
3.02,1001,2003.23,25.00,2557.40
3.05,1003,1994.74,25.00,2473.99
3.05,1001,2003.18,25.00,2557.40
3.08,1003,1994.73,25.00,2474.37
3.08,1001,2003.13,25.00,2557.40
3.10,1003,1994.72,25.00,2474.76
3.10,1001,2003.08,25.00,2557.40
3.13,1003,1994.70,25.00,2475.17
3.13,1001,2003.03,25.00,2557.40
3.16,1003,1994.69,25.00,2475.55
3.16,1001,2002.99,25.00,2557.40
3.19,1003,1994.68,25.00,2475.92
3.19,1001,2002.94,25.00,2557.40
3.22,1003,1994.66,25.00,2476.29
3.22,1001,2002.89,25.00,2557.40
3.24,1003,1994.65,25.00,2476.69
3.24,1001,2002.85,25.00,2557.40
3.27,1003,1994.64,25.00,2477.07
3.27,1001,2002.80,25.00,2557.40
3.30,1003,1994.63,25.00,2477.43
3.30,1001,2002.75,25.00,2557.40
3.32,1003,1994.61,25.00,2477.81
3.32,1001,2002.71,25.00,2557.40
3.35,1003,1994.60,25.00,2478.21
3.35,1001,2002.66,25.00,2557.40
3.38,1003,1994.59,25.00,2478.59
3.38,1001,2002.61,25.00,2557.40
3.41,1003,1994.58,25.00,2478.95
3.41,1001,2002.56,25.00,2557.40
3.43,1003,1994.56,25.00,2479.33
3.43,1001,2002.52,25.00,2557.40
3.46,1003,1994.55,25.00,2479.71
3.46,1001,2002.47,25.00,2557.40
3.49,1003,1994.54,25.00,2480.09
3.49,1001,2002.42,25.00,2557.40
3.52,1003,1994.52,25.00,2480.52
3.52,1001,2002.37,25.00,2557.40
3.55,1003,1994.51,25.00,2480.87
3.55,1001,2002.33,25.00,2557.40
3.57,1003,1994.50,25.00,2481.24
3.57,1001,2002.28,25.00,2557.40
3.60,1003,1994.49,25.00,2481.60
3.60,1001,2002.24,25.00,2557.40
3.63,1003,1994.47,25.00,2482.00
3.63,1001,2002.19,25.00,2557.40
3.65,1003,1994.46,25.00,2482.38
3.65,1001,2002.14,25.00,2557.40
3.68,1003,1994.45,25.00,2482.74
3.68,1001,2002.09,25.00,2557.40
3.71,1003,1994.44,25.00,2483.10
3.71,1001,2002.05,25.00,2557.40
3.73,1003,1994.43,25.00,2483.47
3.73,1001,2002.00,25.00,2557.40
3.76,1003,1994.41,25.00,2483.83
3.76,1001,2001.96,25.00,2557.40
3.78,1003,1994.40,25.00,2484.18
3.78,1001,2001.92,25.00,2557.40
3.81,1003,1994.39,25.00,2484.55
3.81,1001,2001.87,25.00,2557.40
3.84,1003,1994.38,25.00,2484.91
3.84,1001,2001.83,25.00,2557.40
